filename,bag,source_frame_index,relative_time_seconds,bag_timestamp_ns,width,height
rosbag2_2026_07_23-14_38_52__s0000__f000000__t000000ms.jpg,rosbag2_2026_07_23-14_38_52,0,0.000,1784785132532456460,210,311
rosbag2_2026_07_23-14_38_52__s0001__f000004__t000273ms.jpg,rosbag2_2026_07_23-14_38_52,4,0.273,1784785132805529416,210,311
rosbag2_2026_07_23-14_38_52__s0002__f000010__t000473ms.jpg,rosbag2_2026_07_23-14_38_52,10,0.473,1784785133005807891,210,311
rosbag2_2026_07_23-14_38_52__s0003__f000014__t000774ms.jpg,rosbag2_2026_07_23-14_38_52,14,0.774,1784785133306150490,210,311
rosbag2_2026_07_23-14_38_52__s0004__f000017__t000973ms.jpg,rosbag2_2026_07_23-14_38_52,17,0.973,1784785133505757352,210,311
rosbag2_2026_07_23-14_38_52__s0005__f000021__t001236ms.jpg,rosbag2_2026_07_23-14_38_52,21,1.236,1784785133768915661,210,311
rosbag2_2026_07_23-14_38_52__s0006__f000025__t001505ms.jpg,rosbag2_2026_07_23-14_38_52,25,1.505,1784785134037301846,210,311
rosbag2_2026_07_23-14_38_52__s0007__f000029__t001773ms.jpg,rosbag2_2026_07_23-14_38_52,29,1.773,1784785134305903438,210,311
rosbag2_2026_07_23-14_38_52__s0008__f000032__t001972ms.jpg,rosbag2_2026_07_23-14_38_52,32,1.972,1784785134504955319,210,311
rosbag2_2026_07_23-14_38_52__s0009__f000036__t002237ms.jpg,rosbag2_2026_07_23-14_38_52,36,2.237,1784785134769071135,210,311
rosbag2_2026_07_23-14_38_52__s0010__f000040__t002505ms.jpg,rosbag2_2026_07_23-14_38_52,40,2.505,1784785135037668501,210,311
rosbag2_2026_07_23-14_38_52__s0011__f000044__t002773ms.jpg,rosbag2_2026_07_23-14_38_52,44,2.773,1784785135305729692,210,311
rosbag2_2026_07_23-14_38_52__s0012__f000047__t002973ms.jpg,rosbag2_2026_07_23-14_38_52,47,2.973,1784785135505788162,210,311
rosbag2_2026_07_23-14_38_52__s0013__f000051__t003232ms.jpg,rosbag2_2026_07_23-14_38_52,51,3.232,1784785135764382948,210,311
rosbag2_2026_07_23-14_38_52__s0014__f000055__t003506ms.jpg,rosbag2_2026_07_23-14_38_52,55,3.506,1784785136038102510,210,311
rosbag2_2026_07_23-14_38_52__s0015__f000062__t003734ms.jpg,rosbag2_2026_07_23-14_38_52,62,3.734,1784785136266348330,210,311
rosbag2_2026_07_23-14_38_52__s0016__f000068__t003974ms.jpg,rosbag2_2026_07_23-14_38_52,68,3.974,1784785136506022434,210,311
rosbag2_2026_07_23-14_38_52__s0017__f000072__t004236ms.jpg,rosbag2_2026_07_23-14_38_52,72,4.236,1784785136768866891,210,311
rosbag2_2026_07_23-14_38_52__s0018__f000076__t004506ms.jpg,rosbag2_2026_07_23-14_38_52,76,4.506,1784785137038050801,210,311
rosbag2_2026_07_23-14_38_52__s0019__f000080__t004774ms.jpg,rosbag2_2026_07_23-14_38_52,80,4.774,1784785137306526911,210,311
rosbag2_2026_07_23-14_38_52__s0020__f000083__t004973ms.jpg,rosbag2_2026_07_23-14_38_52,83,4.973,1784785137505764087,210,311
rosbag2_2026_07_23-14_38_52__s0021__f000087__t005237ms.jpg,rosbag2_2026_07_23-14_38_52,87,5.237,1784785137769354715,210,311
rosbag2_2026_07_23-14_38_52__s0022__f000091__t005506ms.jpg,rosbag2_2026_07_23-14_38_52,91,5.506,1784785138038074619,210,311
